num_cands,num_voters,num_dims,correlation,rel_dispersion,num_dims_polarized,subpopulation_std,polarization_distance,num_centrist_cands,prob_centrist_voters,voter_utility,normalization,initial_trials,step_trials,min_num_trials,max_std_error,num_trials,vm,exp_soc_util_performance,est_std_error,variance_soc_util_performance_values,dt,pref_voting_version
3,11,2,0.5,1.0,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.9023376804246657,0.0025166167478130248,0.06332726519387469,2024-12-23 10:42:32.547721,1.14.21
3,11,2,0.5,1.0,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.8726370988404818,0.002873804945088363,0.08257928986928087,2024-12-23 10:42:32.547820,1.14.21
3,11,2,0.5,1.0,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,10000,Approval,0.879144857353015,0.0033000760231616955,0.10889412708470847,2024-12-23 10:42:32.547926,1.14.21
3,11,2,0.5,1.0,0,1,None,None,None,Matthews,none,1000,1000,10000,0.005,10000,Approval,0.7886420866009748,0.004423610249483806,0.19566370806574243,2024-12-23 10:42:32.548033,1.14.21
3,11,2,0.5,1.0,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.791014877540185,0.004060613699341307,0.16486934756916768,2024-12-23 10:42:32.548145,1.14.21
3,11,2,0.5,1.0,0,1,None,None,None,RM,none,1000,1000,10000,0.005,15000,Approval,0.6148287273954407,0.004983619682153602,0.37252214058009514,2024-12-23 10:42:32.548407,1.14.21
3,11,2,0.0,0.5,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.8621059426917632,0.0031969778438167384,0.10219645267121737,2024-12-23 10:42:32.548566,1.14.21
3,11,2,0.0,0.5,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.8130182618160972,0.0038392026546820433,0.1473800307601528,2024-12-23 10:42:32.548693,1.14.21
3,11,2,0.0,0.5,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,10000,Approval,0.8174882309779773,0.00402340257112046,0.161861494724738,2024-12-23 10:42:32.548833,1.14.21
3,11,2,0.0,0.5,0,1,None,None,None,Matthews,none,1000,1000,10000,0.005,10000,Approval,0.7963702952393555,0.00429261212254099,0.18424676182702407,2024-12-23 10:42:32.548952,1.14.21
3,11,2,0.0,0.5,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.7242388616672264,0.004856227140688933,0.2358058374775961,2024-12-23 10:42:32.549077,1.14.21
3,11,2,0.0,0.5,0,1,None,None,None,RM,none,1000,1000,10000,0.005,14000,Approval,0.6483609292040713,0.004892986515183445,0.33515449721170065,2024-12-23 10:42:32.549201,1.14.21
3,11,2,0.5,0.5,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.8599488928269681,0.0032336613285265294,0.10455519931049198,2024-12-23 10:42:32.549326,1.14.21
3,11,2,0.5,0.5,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.8016803079545803,0.0039308713395502575,0.15450204313148824,2024-12-23 10:42:32.549453,1.14.21
3,11,2,0.5,0.5,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,10000,Approval,0.8090046009874792,0.0042270939273552615,0.1786653623837666,2024-12-23 10:42:32.549620,1.14.21
3,11,2,0.5,0.5,0,1,None,None,None,Matthews,none,1000,1000,10000,0.005,10000,Approval,0.7890193608814374,0.004416006705008026,0.19499165107153976,2024-12-23 10:42:32.549752,1.14.21
3,11,2,0.5,0.5,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.7143075185786231,0.004942387329034736,0.244247497909521,2024-12-23 10:42:32.549885,1.14.21
3,11,2,0.5,0.5,0,1,None,None,None,RM,none,1000,1000,10000,0.005,15000,Approval,0.6257558779487603,0.00494280789883399,0.3664458175217105,2024-12-23 10:42:32.550025,1.14.21
3,11,4,0.0,1.0,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.917634868027566,0.0024649250109699795,0.060752477241743826,2024-12-23 10:42:32.550161,1.14.21
3,11,4,0.0,1.0,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.9117169045311457,0.002511607071462096,0.06307539264410265,2024-12-23 10:42:32.550302,1.14.21
3,11,4,0.0,1.0,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,10000,Approval,0.8211586611681412,0.004170492859266861,0.17391271388126964,2024-12-23 10:42:32.550441,1.14.21
3,11,4,0.0,1.0,0,1,None,None,None,Matthews,none,1000,1000,10000,0.005,10000,Approval,0.7786093099279792,0.004253836226256257,0.18093313127546093,2024-12-23 10:42:32.550583,1.14.21
3,11,4,0.0,1.0,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.8428759188096632,0.003646995639910193,0.13299247139804207,2024-12-23 10:42:32.550729,1.14.21
3,11,4,0.0,1.0,0,1,None,None,None,RM,none,1000,1000,10000,0.005,11000,Approval,0.7136352825282394,0.004810041460516161,0.254478350871877,2024-12-23 10:42:32.550877,1.14.21
3,11,4,0.5,1.0,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.907313940996448,0.002505406874826165,0.06276435902065369,2024-12-23 10:42:32.551025,1.14.21
3,11,4,0.5,1.0,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.8866737041503425,0.0027962193301769296,0.07818060658200872,2024-12-23 10:42:32.551175,1.14.21
3,11,4,0.5,1.0,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,10000,Approval,0.7983814725151775,0.0045168732321359505,0.20400103580806753,2024-12-23 10:42:32.551330,1.14.21
3,11,4,0.5,1.0,0,1,None,None,None,Matthews,none,1000,1000,10000,0.005,10000,Approval,0.7786253372254207,0.004295154148810894,0.18446504327131233,2024-12-23 10:42:32.551483,1.14.21
3,11,4,0.5,1.0,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.8135224350685573,0.00387082281972781,0.1498177097479538,2024-12-23 10:42:32.551668,1.14.21
3,11,4,0.5,1.0,0,1,None,None,None,RM,none,1000,1000,10000,0.005,13000,Approval,0.6617049000082382,0.004873241176087707,0.30870648580455673,2024-12-23 10:42:32.551826,1.14.21
3,11,4,0.0,0.5,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.8574293932950137,0.003409222188059355,0.11621633647963463,2024-12-23 10:42:32.551986,1.14.21
3,11,4,0.0,0.5,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.8405274161614452,0.003560845015458993,0.12678349262396746,2024-12-23 10:42:32.552146,1.14.21
3,11,4,0.0,0.5,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,11000,Approval,0.7360221670243223,0.004822648971446445,0.25581411617662614,2024-12-23 10:42:32.552310,1.14.21
3,11,4,0.0,0.5,0,1,None,None,None,Matthews,none,1000,1000,10000,0.005,10000,Approval,0.7739623026211142,0.004393519714127705,0.19301085176880947,2024-12-23 10:42:32.552474,1.14.21
3,11,4,0.0,0.5,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.7649345935781594,0.004562911656281961,0.20818080766755487,2024-12-23 10:42:32.552644,1.14.21
3,11,4,0.0,0.5,0,1,None,None,None,RM,none,1000,1000,10000,0.005,10000,Approval,0.7210447141030516,0.004935376065874219,0.24355501117912928,2024-12-23 10:42:32.552826,1.14.21
